schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,home_favorite,away_favorite,over,team_away_current_win_pct,team_home_current_win_pct,team_home_lastseason_win_pct,team_away_lastseason_win_pct,team_home_division,team_away_division,division_game,elo_prob1,elo_prob2,result
2001-09-09,2001,1,0,BAL,17.0,6.0,CHI,BAL,-10.5,33.5,M&T Bank Stadium,0,72.0,6.0,79.0,,1,0,0.0,0.0,0.0,0.75,0.3125,AFC North,NFC North,0,0.847022534,0.152977466,1
2009-12-20,2009,15,0,BAL,31.0,7.0,CHI,BAL,-11.0,39.0,M&T Bank Stadium,0,30.0,12.0,68.0,,1,0,0.0,0.38461538461538464,0.5384615384615384,0.6875,0.5625,AFC North,NFC North,0,0.781479341,0.218520659,1
2017-10-15,2017,6,0,BAL,24.0,27.0,CHI,BAL,-6.5,38.5,M&T Bank Stadium,0,73.0,10.0,,,1,0,1.0,0.2,0.6,0.5,0.1875,AFC North,NFC North,0,0.751455404,0.248544596,0
2002-09-29,2002,4,0,BUF,33.0,27.0,CHI,BUF,-3.0,46.5,Ralph Wilson Stadium,0,57.0,9.0,76.0,,1,0,1.0,0.6666666666666666,0.3333333333333333,0.1875,0.8125,AFC East,NFC North,0,0.401822955,0.598177045,1
2010-11-07,2010,9,0,BUF,19.0,22.0,CHI,CHI,-3.0,41.5,Rogers Centre,1,72.0,0.0,,DOME,0,1,0.0,0.5714285714285714,0.0,0.375,0.4375,AFC East,NFC North,0,0.421487808,0.578512192,0
2018-11-04,2018,9,0,BUF,9.0,41.0,CHI,CHI,-10.5,38.0,New Era Field,0,49.0,12.0,,,0,1,1.0,0.5714285714285714,0.25,0.5625,0.3125,AFC East,NFC North,0,0.462367825,0.537632175,0
2001-10-21,2001,6,0,CIN,0.0,24.0,CHI,CIN,-1.0,36.0,Paul Brown Stadium,0,60.0,8.0,74.0,,1,0,0.0,0.75,0.6,0.25,0.3125,AFC North,NFC North,0,0.508632397,0.491367603,0
2009-10-25,2009,7,0,CIN,45.0,10.0,CHI,CHI,-2.0,43.0,Paul Brown Stadium,0,55.0,5.0,68.0,,0,1,1.0,0.6,0.6666666666666666,0.26666666666666666,0.5625,AFC North,NFC North,0,0.510993072,0.489006928,1
2017-12-10,2017,14,0,CIN,7.0,33.0,CHI,CIN,-6.0,40.5,Paul Brown Stadium,0,31.0,11.0,,,1,0,0.0,0.25,0.4166666666666667,0.4,0.1875,AFC North,NFC North,0,0.710366043,0.289633957,0
2005-10-09,2005,5,0,CLE,20.0,10.0,CHI,CLE,-3.0,35.0,FirstEnergy Stadium,0,53.0,11.0,81.0,,1,0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.3125,AFC North,NFC North,0,0.584962116,0.415037884,1
